Date,Close/Last,Volume,Open,High,Low
10/15/2024,131.60,"377,831,000.00",137.87,138.57,128.74
10/14/2024,138.07,"232,347,700.00",136.47,139.60,136.30
10/11/2024,134.80,"170,209,500.00",134.01,135.78,133.66
10/10/2024,134.81,"242,311,300.00",131.91,135.00,131.00
10/09/2024,132.65,"246,191,600.00",134.11,134.52,131.38
10/08/2024,132.89,"285,722,500.00",130.26,133.48,129.42
10/07/2024,127.72,"346,250,200.00",124.99,130.64,124.95
10/04/2024,124.92,"244,465,600.00",124.94,125.04,121.83
10/03/2024,122.85,"277,118,000.00",120.92,124.36,120.34
10/02/2024,118.85,"221,845,900.00",116.44,119.38,115.14
10/01/2024,117.00,"302,094,500.00",121.77,122.44,115.79
09/30/2024,121.44,"227,053,700.00",118.31,121.50,118.15
09/27/2024,121.40,"271,009,200.00",123.97,124.03,119.26
09/26/2024,124.04,"302,582,900.00",126.80,127.67,121.80
09/25/2024,123.51,"284,692,900.00",122.02,124.94,121.61
09/24/2024,120.87,"354,966,800.00",116.52,121.80,115.38
09/23/2024,116.26,"206,228,500.00",116.55,116.99,114.86
09/20/2024,116.00,"382,462,400.00",117.06,118.62,115.39
09/19/2024,117.87,"293,506,400.00",117.35,119.66,117.25
09/18/2024,113.37,"310,318,900.00",115.89,117.70,113.22
09/17/2024,115.59,"231,925,900.00",118.17,118.80,114.83
09/16/2024,116.78,"248,772,300.00",116.79,118.18,114.36
09/13/2024,119.10,"238,358,300.00",119.08,119.96,117.60
09/12/2024,119.14,"367,100,500.00",116.84,120.79,115.38
09/11/2024,116.91,"441,422,400.00",109.39,117.19,107.42
09/10/2024,108.10,"268,283,700.00",107.81,109.40,104.95
09/09/2024,106.47,"273,912,000.00",104.88,106.55,103.69
09/06/2024,102.83,"413,638,100.00",108.04,108.15,100.95
09/05/2024,107.21,"306,850,700.00",104.99,109.65,104.76
09/04/2024,106.21,"372,470,300.00",105.41,113.27,104.12
09/03/2024,108.00,"477,155,100.00",116.01,116.21,107.29
08/30/2024,119.37,"333,751,600.00",119.53,121.75,117.22
08/29/2024,117.59,"453,023,300.00",121.36,124.43,116.71
08/28/2024,125.61,"448,101,100.00",128.12,128.33,122.64
08/27/2024,128.30,"303,134,600.00",125.05,129.20,123.88
08/26/2024,126.46,"331,964,700.00",129.57,131.26,124.37
08/23/2024,129.37,"323,230,300.00",125.86,129.60,125.22
08/22/2024,123.74,"376,189,100.00",130.02,130.75,123.10
08/21/2024,128.50,"257,883,600.00",127.32,129.35,126.66
08/20/2024,127.25,"300,087,400.00",128.40,129.88,125.89
08/19/2024,130.00,"318,333,600.00",124.28,130.00,123.42
08/16/2024,124.58,"302,589,900.00",121.94,125.00,121.18
08/15/2024,122.86,"318,086,700.00",118.76,123.24,117.47
08/14/2024,118.08,"339,246,400.00",118.53,118.60,114.07
08/13/2024,116.14,"312,646,700.00",112.44,116.23,111.58
08/12/2024,109.02,"325,559,900.00",106.32,111.07,106.26
08/09/2024,104.75,"290,844,200.00",105.64,106.60,103.43
08/08/2024,104.97,"391,910,000.00",102.00,105.50,97.52
08/07/2024,98.91,"411,440,400.00",107.81,108.80,98.69
08/06/2024,104.25,"409,012,100.00",103.84,107.71,100.55
08/05/2024,100.45,"552,842,400.00",92.06,103.41,90.69
08/02/2024,107.27,"482,027,500.00",103.76,108.72,101.37
08/01/2024,109.21,"523,462,300.00",117.53,120.16,106.81
07/31/2024,117.02,"473,174,200.00",112.90,118.34,110.88
07/30/2024,103.73,"486,833,300.00",111.52,111.99,102.54
07/29/2024,111.59,"248,152,100.00",113.69,116.28,111.30
07/26/2024,113.06,"293,399,100.00",116.19,116.20,111.58
07/25/2024,112.28,"460,067,000.00",113.04,116.63,106.30
07/24/2024,114.25,"327,776,900.00",119.17,119.95,113.44
07/23/2024,122.59,"173,911,000.00",122.78,124.69,122.10
07/22/2024,123.54,"258,068,900.00",120.35,124.07,119.86
07/19/2024,117.93,"217,223,800.00",120.35,121.60,117.37
07/18/2024,121.09,"320,979,500.00",121.85,122.40,116.56
07/17/2024,117.99,"390,086,200.00",121.35,121.85,116.72
07/16/2024,126.36,"214,769,500.00",128.44,129.04,124.58
07/15/2024,128.44,"208,326,200.00",130.56,131.39,127.18